TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL
1,Cue,1,0.5,,1,1,Intens,0
1,Cue,1,0.5,,2,1,Intens,0
1,Cue,1,0.5,,3,1,Intens,0
1,Cue,1,0.5,,4,1,Intens,0
1,Cue,1,0.5,,5,1,Intens,0
1,Cue,1,0.5,,6,1,Intens,0
1,Cue,1,0.5,,7,1,Intens,0
1,Cue,1,0.5,,8,1,Intens,0
1,Cue,1,0.5,,9,1,Intens,0
1,Cue,1,0.5,,10,1,Intens,0
1,Cue,1,0.5,,11,1,Intens,0
1,Cue,1,0.5,,12,1,Intens,0
1,Cue,1,0.5,,13,1,Intens,0
1,Cue,1,0.5,,14,1,Intens,0
1,Cue,1,0.5,,15,1,Intens,0
1,Cue,1,0.5,,16,1,Intens,0
1,Cue,1,0.5,,17,1,Intens,0
1,Cue,1,0.5,,18,1,Intens,0
1,Cue,1,0.5,,19,1,Intens,0
1,Cue,1,0.5,,20,1,Intens,0
1,Cue,1,0.5,,21,1,Intens,0
1,Cue,1,0.5,,22,1,Intens,0
1,Cue,1,0.5,,23,1,Intens,0
1,Cue,1,0.5,,24,1,Intens,0
1,Cue,1,0.5,,25,1,Intens,0
1,Cue,1,0.5,,26,1,Intens,0
1,Cue,1,0.5,,27,1,Intens,0
1,Cue,1,0.5,,28,1,Intens,0
1,Cue,1,0.5,,29,1,Intens,0
1,Cue,1,0.5,,30,1,Intens,0
1,Cue,1,0.5,,31,1,Intens,0
1,Cue,1,0.5,,32,1,Intens,0
1,Cue,1,0.5,,33,1,Intens,0
1,Cue,1,0.5,,34,1,Intens,0
1,Cue,1,0.5,,35,1,Intens,0
1,Cue,1,0.5,,36,1,Intens,0
1,Cue,1,0.5,,37,1,Intens,0
1,Cue,1,0.5,,38,1,Intens,0
1,Cue,1,0.5,,39,1,Intens,0
1,Cue,1,0.5,,40,1,Intens,0
1,Cue,1,0.5,,41,1,Intens,0
1,Cue,1,0.5,,42,1,Intens,0
1,Cue,1,0.5,,43,1,Intens,0
1,Cue,1,0.5,,44,1,Intens,0
1,Cue,1,0.5,,45,1,Intens,0
1,Cue,1,0.5,,46,1,Intens,0
1,Cue,1,0.5,,47,1,Intens,0
1,Cue,1,0.5,,48,1,Intens,0
1,Cue,1,0.5,,49,1,Intens,0
1,Cue,1,0.5,,50,1,Intens,0
1,Cue,1,0.5,,51,1,Intens,0
1,Cue,1,0.5,,52,1,Intens,0
1,Cue,1,0.5,,53,1,Intens,0
1,Cue,1,0.5,,54,1,Intens,0
1,Cue,1,0.5,,55,1,Intens,0
1,Cue,1,0.5,,56,1,Intens,0
1,Cue,1,0.5,,57,1,Intens,0
1,Cue,1,0.5,,58,1,Intens,0
1,Cue,1,0.5,,59,1,Intens,0
1,Cue,1,0.5,,60,1,Intens,0
1,Cue,1,0.5,,61,1,Intens,0
1,Cue,1,0.5,,62,1,Intens,0
1,Cue,1,0.5,,63,1,Intens,0
1,Cue,1,0.5,,64,1,Intens,0
1,Cue,1,0.5,,65,1,Intens,0
1,Cue,1,0.5,,66,1,Intens,0
1,Cue,1,0.5,,67,1,Intens,0
1,Cue,1,0.5,,68,1,Intens,0
1,Cue,1,0.5,,69,1,Intens,0
1,Cue,1,0.5,,70,1,Intens,0
1,Cue,1,0.5,,71,1,Intens,0
1,Cue,1,0.5,,72,1,Intens,0
1,Cue,1,0.5,,73,1,Intens,0
1,Cue,1,0.5,,74,1,Intens,0
1,Cue,1,0.5,,75,1,Intens,0
1,Cue,1,0.5,,76,1,Intens,0
1,Cue,1,0.5,,77,1,Intens,0
1,Cue,1,0.5,,78,1,Intens,0
1,Cue,1,0.5,,79,1,Intens,0
1,Cue,1,0.5,,80,1,Intens,0
1,Cue,1,0.5,,81,1,Intens,0
1,Cue,1,0.5,,82,1,Intens,0
1,Cue,1,0.5,,83,1,Intens,0
1,Cue,1,0.5,,84,1,Intens,0
1,Cue,1,0.5,,85,1,Intens,0
1,Cue,1,0.5,,86,1,Intens,0
1,Cue,1,0.5,,87,1,Intens,0
1,Cue,1,0.5,,88,1,Intens,0
1,Cue,1,0.5,,89,1,Intens,0
1,Cue,1,0.5,,90,1,Intens,0
1,Cue,1,0.5,,91,1,Intens,0
1,Cue,1,0.5,,92,1,Intens,0
1,Cue,1,0.5,,93,1,Intens,0
1,Cue,1,0.5,,94,1,Intens,0
1,Cue,1,0.5,,95,1,Intens,0
1,Cue,1,0.5,,96,1,Intens,0
1,Cue,1,0.5,,97,1,Intens,0
1,Cue,1,0.5,,98,1,Intens,0
1,Cue,1,0.5,,99,1,Intens,0
1,Cue,1,0.5,,100,1,Intens,0
1,Cue,1,0.5,,101,1,Intens,0
1,Cue,1,0.5,,102,1,Intens,0
1,Cue,1,0.5,,103,1,Intens,0
1,Cue,1,0.5,,104,1,Intens,0
1,Cue,1,0.5,,105,1,Intens,0
1,Cue,1,0.5,,106,1,Intens,0
1,Cue,1,0.5,,107,1,Intens,0
1,Cue,1,0.5,,108,1,Intens,0
1,Cue,1,0.5,,109,1,Intens,0
1,Cue,1,0.5,,110,1,Intens,0
1,Cue,1,0.5,,111,1,Intens,0
1,Cue,1,0.5,,112,1,Intens,0
1,Cue,1,0.5,,113,1,Intens,0
1,Cue,1,0.5,,114,1,Intens,0
1,Cue,1,0.5,,115,1,Intens,0
1,Cue,1,0.5,,116,1,Intens,0
1,Cue,1,0.5,,117,1,Intens,0
1,Cue,1,0.5,,118,1,Intens,0
1,Cue,1,0.5,,119,1,Intens,0
1,Cue,1,0.5,,120,1,Intens,0
1,Cue,1,0.5,,121,1,Intens,0
1,Cue,1,0.5,,122,1,Intens,0
1,Cue,1,0.5,,123,1,Intens,0
1,Cue,1,0.5,,124,1,Intens,0
1,Cue,1,0.5,,125,1,Intens,0
1,Cue,1,0.5,,126,1,Intens,0
1,Cue,1,0.5,,127,1,Intens,0
1,Cue,1,0.5,,128,1,Intens,0
1,Cue,1,0.5,,129,1,Intens,0
1,Cue,1,0.5,,130,1,Intens,0
1,Cue,1,0.5,,131,1,Intens,0
1,Cue,1,0.5,,132,1,Intens,0
1,Cue,1,0.5,,133,1,Intens,0
1,Cue,1,0.5,,134,1,Intens,0
1,Cue,1,0.5,,135,1,Intens,0
1,Cue,1,0.5,,136,1,Intens,0
1,Cue,1,0.5,,137,1,Intens,0
1,Cue,1,0.5,,138,1,Intens,0
1,Cue,1,0.5,,139,1,Intens,0
1,Cue,1,0.5,,140,1,Intens,0
1,Cue,1,0.5,,141,1,Intens,0
1,Cue,1,0.5,,142,1,Intens,0
1,Cue,1,0.5,,143,1,Intens,0
1,Cue,1,0.5,,144,1,Intens,0
1,Cue,1,0.5,,145,1,Intens,0
1,Cue,1,0.5,,146,1,Intens,0
1,Cue,1,0.5,,147,1,Intens,0
1,Cue,1,0.5,,148,1,Intens,0
1,Cue,1,0.5,,149,1,Intens,0
1,Cue,1,0.5,,150,1,Intens,0
1,Cue,1,0.5,,151,1,Intens,0
1,Cue,1,0.5,,152,1,Intens,0
1,Cue,1,0.5,,153,1,Intens,0
1,Cue,1,0.5,,154,1,Intens,0
1,Cue,1,0.5,,155,1,Intens,0
1,Cue,1,0.5,,156,1,Intens,0
1,Cue,1,0.5,,157,1,Intens,0
1,Cue,1,0.5,,158,1,Intens,0
1,Cue,1,0.5,,159,1,Intens,0
1,Cue,1,0.5,,160,1,Intens,0
1,Cue,1,0.5,,161,1,Intens,0
1,Cue,1,0.5,,162,1,Intens,0
1,Cue,1,0.5,,163,1,Intens,0
1,Cue,1,0.5,,164,1,Intens,0
1,Cue,1,0.5,,165,1,Intens,0
1,Cue,1,0.5,,166,1,Intens,0
1,Cue,1,0.5,,167,1,Intens,0
1,Cue,1,0.5,,168,1,Intens,0
1,Cue,1,0.5,,169,1,Intens,0
1,Cue,1,0.5,,170,1,Intens,0
1,Cue,1,0.5,,171,1,Intens,0
1,Cue,1,0.5,,172,1,Intens,0
1,Cue,1,0.5,,173,1,Intens,0
1,Cue,1,0.5,,174,1,Intens,0
1,Cue,1,0.5,,175,1,Intens,0
1,Cue,1,0.5,,176,1,Intens,0
1,Cue,1,0.5,,177,1,Intens,0
1,Cue,1,0.5,,178,1,Intens,0
1,Cue,1,0.5,,179,1,Intens,0
1,Cue,1,0.5,,180,1,Intens,0
1,Cue,1,0.5,,181,1,Intens,0
1,Cue,1,0.5,,182,1,Intens,0
1,Cue,1,0.5,,183,1,Intens,0
